AnimalType,SexuponOutcome,AgeinDays,SimpleBreed,SimpleColor,OutcomeType
Cat,Intact Female,60,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,2190,Domestic Shorthair,White,Transfer
Dog,Spayed Female,18,German Shepherd,Brown,Transfer
Cat,Neutered Male,120,Domestic Shorthair,Brown,Adoption
Cat,Neutered Male,2920,Domestic Medium Hair,Black,Euthanasia
Cat,Spayed Female,5365,German Shepherd,Black,Euthanasia
Cat,Neutered Male,210,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,60,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,1195,Domestic Shorthair,White,Return_to_owner
Cat,Intact Female,30,Domestic Shorthair,Brown,Transfer
Cat,Spayed Female,730,Domestic Shorthair,White,Adoption
Cat,Neutered Male,1460,Domestic Shorthair,Blue,Return_to_owner
Cat,Neutered Male,960,Domestic Medium Hair,Brown,Transfer
Cat,Neutered Male,210,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,899,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,988,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,14,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Cat,Intact Male,21,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,820,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,4380,Domestic Shorthair,Black,Transfer
Dog,Intact Female,1095,Pit Bull,Blue,Return_to_owner
Cat,Neutered Male,210,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,1095,Domestic Shorthair,Brown,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Brown,Adoption
Cat,Intact Male,150,Domestic Shorthair,Black,Transfer
Cat,Spayed Female,365,Pit Bull,Brown,Return_to_owner
Cat,Spayed Female,14,Domestic Shorthair,White,Transfer
Cat,Spayed Female,14,Domestic Shorthair,Brown,Transfer
Cat,Intact Male,28,Domestic Shorthair,White,Transfer
Cat,Spayed Female,960,Domestic Shorthair,Black,Adoption
Dog,Neutered Male,5359,Pit Bull,Brown,Euthanasia
Dog,Neutered Male,365,German Shepherd,Brown,Transfer
Cat,Neutered Male,365,Domestic Shorthair,Orange,Transfer
Cat,Intact Male,365,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,730,Domestic Shorthair,Orange,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Orange,Adoption
Cat,Neutered Male,210,Domestic Shorthair,Blue,Adoption
Dog,Neutered Male,1665,German Shepherd,Brown,Return_to_owner
Dog,Intact Male,180,Pit Bull,Brown,Transfer
Dog,Intact Female,1095,Yorkshire Terrier,Black,Return_to_owner
Dog,Spayed Female,18,Pit Bull,White,Transfer
Dog,Intact Female,60,Yorkshire Terrier,Black,Transfer
Dog,Neutered Male,730,Pit Bull,White,Transfer
Cat,Spayed Female,365,Domestic Shorthair,White,Adoption
Cat,Spayed Female,14,Domestic Shorthair,White,Transfer
Cat,Spayed Female,18,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,760,Domestic Shorthair,Black,Transfer
Dog,Spayed Female,3365,German Shepherd,White,Euthanasia
Cat,Spayed Female,880,Domestic Medium Hair,Blue,Adoption
Cat,Intact Male,30,Domestic Longhair,Orange,Transfer
Cat,Intact Male,30,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,120,Domestic Shorthair,Black,Adoption
Cat,Neutered Male,4380,Domestic Shorthair,Orange,Euthanasia
Cat,Intact Female,21,Siamese,White,Transfer
Cat,Intact Female,30,Domestic Shorthair,Black,Transfer
Cat,Intact Female,730,Domestic Shorthair,Blue,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Blue,Adoption
Cat,Neutered Male,120,Domestic Shorthair,Black,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Orange,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,748,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,390,Domestic Longhair,White,Adoption
Cat,Spayed Female,390,Domestic Medium Hair,Brown,Adoption
Cat,Intact Female,30,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Blue,Adoption
Cat,Spayed Female,14,Domestic Shorthair,Blue,Transfer
Cat,Neutered Male,60,Domestic Shorthair,White,Adoption
Cat,Neutered Male,5475,Siamese,Blue,Euthanasia
Cat,Spayed Female,390,Domestic Shorthair,Brown,Adoption
Cat,Intact Male,30,Domestic Medium Hair,Blue,Transfer
Cat,Spayed Female,90,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,365,Domestic Longhair,Black,Transfer
Cat,Spayed Female,390,Domestic Longhair,Brown,Adoption
Cat,Intact Male,21,Domestic Shorthair,Orange,Transfer
Cat,Intact Male,14,Domestic Shorthair,Blue,Transfer
Dog,Neutered Male,120,German Shepherd,Brown,Adoption
Cat,Neutered Male,1365,Domestic Shorthair,Orange,Return_to_owner
Cat,Intact Male,30,Domestic Shorthair,Orange,Transfer
Cat,Neutered Male,120,Domestic Shorthair,White,Adoption
Dog,Spayed Female,365,Pit Bull,Black,Adoption
Cat,Neutered Male,90,Domestic Shorthair,Brown,Adoption
Dog,Intact Male,150,Pit Bull,Black,Transfer
Cat,Intact Male,365,Domestic Shorthair,Orange,Transfer
Cat,Spayed Female,730,Domestic Shorthair,White,Adoption
Cat,Neutered Male,1195,Domestic Shorthair,Blue,Return_to_owner
Dog,Intact Female,30,Pit Bull,White,Transfer
Cat,Intact Male,14,Domestic Medium Hair,Blue,Transfer
Dog,Neutered Male,60,German Shepherd,Black,Adoption
Cat,Neutered Male,1195,Domestic Shorthair,Brown,Return_to_owner
Cat,Intact Male,30,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,120,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,730,Domestic Shorthair,Black,Adoption
Cat,Intact Female,21,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,990,Domestic Shorthair,Black,Transfer
Dog,Neutered Male,730,Pit Bull,Brown,Transfer
Cat,Spayed Female,730,Domestic Shorthair,Brown,Adoption
Dog,Neutered Male,190,Pit Bull,Blue,Adoption
Cat,Spayed Female,14,Domestic Shorthair,Black,Transfer
Dog,Neutered Male,990,Pit Bull,Blue,Transfer
Dog,Neutered Male,1730,Pit Bull,Brown,Return_to_owner
Cat,Intact Male,21,Domestic Shorthair,Blue,Transfer
Cat,Neutered Male,150,Domestic Medium Hair,Blue,Adoption
Dog,Spayed Female,730,Pit Bull,Brown,Return_to_owner
Cat,Intact Male,730,Domestic Shorthair,Black,Transfer
Cat,Spayed Female,230,Domestic Medium Hair,Black,Transfer
Cat,Intact Female,14,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,120,Domestic Shorthair,Blue,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Orange,Adoption
Cat,Intact Male,30,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Dog,Neutered Male,1730,Siberian Husky,Black,Return_to_owner
Dog,Neutered Male,365,Pit Bull,Brown,Adoption
Cat,Spayed Female,230,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Brown,Adoption
Cat,Intact Female,365,Domestic Shorthair,Orange,Transfer
Cat,Neutered Male,5359,Domestic Shorthair,Black,Euthanasia
Dog,Intact Female,730,German Shepherd,Black,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Dog,Neutered Male,5359,Pit Bull,Blue,Euthanasia
Dog,Spayed Female,730,Pit Bull,White,Adoption
Dog,Neutered Male,5359,Pit Bull,White,Euthanasia
Cat,Spayed Female,230,Domestic Shorthair,Black,Transfer
Cat,Intact Female,14,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,1180,Domestic Shorthair,Blue,Return_to_owner
Cat,Spayed Female,6,Domestic Shorthair,Brown,Transfer
Cat,Intact Female,30,Domestic Shorthair,Black,Transfer
Cat,Spayed Female,730,Domestic Shorthair,Brown,Adoption
Cat,Neutered Male,2920,Domestic Shorthair,Black,Return_to_owner
Cat,Intact Male,60,Domestic Shorthair,Black,Transfer
Cat,Neutered Male,270,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,680,Domestic Shorthair,Brown,Adoption
Cat,Intact Female,14,Domestic Shorthair,Blue,Transfer
Cat,Intact Female,2,Domestic Shorthair,Blue,Transfer
Cat,Spayed Female,120,Domestic Shorthair,Black,Adoption
Dog,Neutered Male,1365,Pit Bull,White,Return_to_owner
Cat,Spayed Female,18,Domestic Shorthair,Brown,Transfer
Dog,Neutered Male,1730,Pit Bull,Black,Return_to_owner
Cat,Intact Female,28,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Orange,Adoption
Cat,Spayed Female,365,Domestic Shorthair,Brown,Adoption
Dog,Neutered Male,825,Yorkshire Terrier,Black,Transfer
Cat,Neutered Male,60,Domestic Medium Hair,Blue,Adoption
Dog,Neutered Male,90,Pit Bull,White,Adoption
Cat,Neutered Male,120,Domestic Shorthair,Black,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Cat,Intact Male,30,Domestic Shorthair,Orange,Transfer
Dog,Neutered Male,1460,Yorkshire Terrier,White,Return_to_owner
Cat,Spayed Female,300,Domestic Medium Hair,Black,Adoption
Cat,Neutered Male,90,Domestic Shorthair,Black,Adoption
Dog,Neutered Male,1825,Pit Bull,Blue,Return_to_owner
Cat,Spayed Female,7,Domestic Shorthair,Orange,Transfer
Cat,Neutered Male,55,Domestic Medium Hair,Black,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,18,Domestic Shorthair,Brown,Transfer
Cat,Intact Male,7,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,60,Domestic Shorthair,Black,Adoption
Cat,Spayed Female,330,Domestic Shorthair,Black,Adoption
Cat,Neutered Male,60,Domestic Shorthair,Orange,Adoption
Cat,Intact Male,90,Domestic Shorthair,Brown,Transfer
Cat,Spayed Female,730,Domestic Shorthair,Brown,Adoption
Dog,Neutered Male,1195,Pit Bull,Blue,Return_to_owner
Cat,Neutered Male,850,Domestic Shorthair,Black,Transfer
Cat,Spayed Female,1095,Domestic Shorthair,Brown,Adoption
Cat,Spayed Female,365,Domestic Longhair,Brown,Adoption
Cat,Spayed Female,14,Domestic Shorthair,Brown,Transfer
Dog,Neutered Male,1090,Pit Bull,Brown,Transfer
Cat,Neutered Male,1025,Domestic Shorthair,Orange,Transfer
Cat,Neutered Male,820,Domestic Shorthair,Brown,Transfer
Cat,Neutered Male,730,Domestic Shorthair,Orange,Transfer
